,0,1
0,2,1
1,723,3
2,723,5
3,903,6
4,1181,8
5,1181,10
6,1443,11
7,1803,13
8,2885,14
9,3786,15
10,6492,16
11,7751,19
12,7751,22
13,7751,25
14,7769,26
15,8228,31
16,8228,36
17,8228,41
18,8299,42
19,8305,43
20,9371,44
21,10682,46
22,11178,47
23,11366,50
24,11366,53
25,12381,54
26,13388,57
27,13388,60
28,14079,61
29,14296,65
30,14296,69
31,14624,70
32,14679,72
33,14888,73
34,16581,74
35,17120,75
36,17132,81
37,17138,85
38,17144,87
39,17158,91
40,17158,95
41,17500,97
42,18425,101
43,18425,105
44,18953,109
45,18965,111
46,18965,113
47,18983,114
48,19371,117
49,19381,123
50,19381,129
51,19413,132
52,19507,134
53,19871,137
54,19871,140
55,19928,142
56,19959,144
57,20510,145
58,20667,147
59,21090,154
60,21090,161
61,21125,164
62,21139,168
63,21150,172
64,21163,174
65,23486,175
66,23739,176
67,23754,177
68,23894,178
69,23994,181
70,23994,184
71,24019,189
72,24019,194
73,24047,196
74,24061,197
75,25522,198
76,25699,199
77,26289,200
78,26789,204
79,26803,207
80,26818,212
81,26833,218
82,26833,224
83,28442,225
84,30181,226
85,30589,227
86,30635,228
87,30858,229
88,31756,230
89,32873,232
90,33431,233
91,33488,234
92,33808,235
93,33963,237
94,34044,238
95,35167,240
96,35457,242
97,35457,244
98,35582,245
99,35795,248
100,35795,251
101,36965,253
102,37309,254
103,40121,255
104,40178,256
105,40598,259
106,40598,262
107,40634,263
108,40920,266
109,41069,268
110,41387,270
111,43572,272
112,44156,276
113,44156,280
114,45292,281
