,0,1
0,8,1
1,18,3
2,18,4
3,19,5
4,20,6
5,27,7
6,34,8
7,37,9
8,69,10
9,73,11
10,75,13
11,78,14
12,81,16
13,85,17
14,96,18
15,106,19
16,110,23
17,113,25
18,114,26
19,120,28
20,132,33
21,133,34
22,141,36
23,141,37
24,143,38
25,147,40
26,155,43
27,165,44
28,170,45
29,176,46
30,177,49
31,179,50
32,180,52
33,196,54
34,198,56
35,198,59
36,201,60
37,203,65
38,208,68
39,220,72
40,226,73
41,230,80
42,235,81
43,237,82
44,238,84
45,258,90
46,259,92
47,262,96
48,265,98
49,269,99
50,272,103
51,275,104
52,284,105
53,284,111
54,293,118
55,294,122
56,303,129
57,307,130
58,320,137
59,324,138
60,329,141
61,338,143
62,341,155
63,350,157
64,350,162
65,352,166
66,358,169
67,373,171
68,383,174
69,388,176
70,390,180
71,392,185
72,394,191
73,397,200
74,409,201
75,414,206
76,423,212
77,424,215
78,434,220
79,441,225
80,443,226
81,450,229
82,452,234
83,461,243
84,466,244
85,469,246
86,469,248
87,485,258
88,490,260
89,492,269
90,495,272
91,513,274
92,526,278
93,530,285
94,533,292
95,540,301
96,545,302
97,565,308
98,569,311
99,572,313
100,574,321
101,575,330
102,596,331
103,600,333
104,601,334
105,602,335
106,605,343
107,608,344
108,614,348
109,618,352
110,619,364
111,634,365
112,639,367
113,644,369
114,650,371
115,655,377
116,661,378
117,663,384
118,665,396
119,666,398
120,682,400
121,684,402
122,688,403
123,695,405
124,699,406
125,702,407
126,707,415
127,711,426
128,711,427
129,725,429
130,730,430
131,734,432
132,738,437
133,746,438
134,753,444
135,772,445
136,776,446
137,777,449
138,788,452
139,800,457
140,806,458
141,808,459
142,821,461
143,833,463
144,850,473
145,857,475
146,865,476
147,865,477
148,884,480
149,894,481
150,903,484
151,909,485
152,910,487
153,914,488
154,952,489
155,969,490
156,970,491
157,996,493
158,1015,494
159,1024,495
160,1037,497
161,1043,498
162,1043,499
163,1067,500
164,1079,501
165,1087,504
166,1137,505
167,1139,507
168,1183,508
169,1210,509
170,1220,510
171,1252,511
172,1262,512
173,1267,514
174,1275,515
175,1290,516
176,1308,518
177,1321,519
178,1324,521
179,1338,522
180,1353,523
181,1354,524
182,1372,525
183,1378,526
