,世代,時間,出力数,前世代までの合計
0,10th, 1 hours 41 minutes 7 seconds,1,0
1,32nd, 6 hours 46 minutes 19 seconds,1,1
2,37th, 8 hours 27 minutes 20 seconds,1,2
3,51st, 10 hours 44 minutes 58 seconds,1,3
4,56th, 12 hours 58 minutes 50 seconds,1,4
5,63rd, 13 hours 34 minutes 38 seconds,1,5
6,77th, 16 hours 25 minutes 51 seconds,1,6
7,83rd, 19 hours 13 minutes 41 seconds,1,7
8,84th, 19 hours 14 minutes 9 seconds,1,8
9,86th, 19 hours 48 minutes 9 seconds,1,9
10,98th, 20 hours 59 minutes 45 seconds,1,10
11,106th, 23 hours 48 minutes 33 seconds,1,11
