,0,1
0,441,1
1,463,2
2,478,3
3,501,4
4,541,5
5,1141,6
6,1141,7
7,1171,8
8,1361,9
9,1460,10
10,1860,11
11,4194,13
12,5006,15
13,5382,16
14,7090,17
15,7875,18
16,8189,19
17,9403,20
18,9578,21
19,9603,25
20,10209,27
21,11815,29
22,12018,32
23,12083,33
24,13550,34
25,13911,35
26,14883,36
27,15274,41
28,15947,42
29,16797,44
30,17349,45
31,18421,46
32,18797,47
33,19103,48
34,19911,51
35,20506,52
36,21345,55
37,21495,56
38,22798,57
39,23856,59
40,24825,63
41,24870,65
42,26010,66
43,27144,67
44,27316,68
45,28414,69
46,28684,70
47,28915,73
48,29937,74
49,30544,76
50,31934,77
51,32231,79
52,33022,81
53,33406,83
54,33514,86
55,33607,88
56,33801,91
57,34835,92
58,36246,94
59,37013,95
60,37612,96
61,37683,98
62,38774,99
63,38783,100
64,39696,101
65,39778,102
66,40516,103
67,41839,104
68,42474,108
69,43221,109
70,44925,110
71,46302,113
72,47683,115
73,47785,117
74,48660,119
75,49023,120
76,51002,122
77,51148,124
78,51863,125
79,52193,126
80,53031,129
81,53376,132
82,54496,135
83,54560,136
84,55220,137
85,56716,139
86,57377,140
87,57616,141
88,58854,146
89,58858,148
90,60485,149
91,60537,150
92,60913,151
93,62525,152
94,64543,153
95,64595,156
96,66344,157
97,66704,158
98,68117,159
99,70133,162
100,70432,168
101,72218,169
102,72615,173
103,72829,175
104,73249,176
105,73551,179
106,74040,182
107,75510,185
108,77475,186
109,78785,188
110,78995,189
111,79281,191
112,80079,194
113,80262,198
114,81118,199
115,81193,201
116,83030,205
117,84413,208
118,84706,209
119,85918,212
120,86106,214
121,86165,217
