,世代,出力数,前世代までの合計
0,1st,1,0
1,3rd,1,1
2,4th,2,2
3,8th,3,4
4,9th,1,7
5,10th,2,8
6,11th,4,10
7,13th,1,14
8,17th,1,15
9,42nd,3,16
10,44th,4,19
11,46th,3,23
12,49th,1,26
13,50th,3,27
14,54th,2,30
15,55th,2,32
16,61st,4,34
17,64th,1,38
18,69th,5,39
19,70th,2,44
20,71st,6,46
21,72nd,3,52
22,74th,2,55
23,75th,3,57
24,77th,3,60
25,78th,1,63
26,79th,2,64
27,81st,4,66
28,82nd,6,70
29,83rd,2,76
30,84th,1,78
31,85th,1,79
32,88th,2,80
33,89th,3,82
34,92nd,1,85
35,95th,2,86
36,98th,2,88
37,99th,1,90
38,100th,2,91
39,101st,4,93
40,103rd,1,97
41,105th,1,98
42,106th,1,99
