,0,1
0,25,1
1,27,2
2,29,3
3,29,4
4,30,6
5,30,8
6,33,9
7,35,11
8,35,13
9,78,15
10,78,17
11,318,18
12,389,19
13,408,20
14,417,21
15,417,23
16,417,25
17,423,27
18,423,29
19,518,30
20,573,31
21,1005,33
22,1170,36
23,1170,39
24,1577,41
25,1619,44
26,1619,47
27,1980,48
28,2030,49
29,2160,53
30,2160,57
31,2160,61
32,2160,65
33,2221,68
34,2221,71
35,2221,74
36,2470,75
37,2640,82
38,2640,89
39,2640,96
40,2729,98
41,2897,100
42,2897,102
43,2971,105
44,3005,107
45,3076,110
46,3519,112
47,3519,114
48,4086,115
49,4341,117
50,4518,118
51,4573,120
52,4573,122
53,4976,123
54,5309,124
55,5380,126
56,5426,129
57,5426,132
58,5851,134
59,5933,136
60,5933,138
61,5978,143
62,5978,148
63,6216,150
64,6216,152
65,6362,153
66,6457,154
67,6632,155
68,7396,156
69,7444,158
70,7643,160
71,7688,161
72,7802,165
73,7802,169
74,7802,173
75,8202,179
76,8202,185
77,8202,191
78,8214,193
79,8214,195
80,8232,196
81,8269,197
82,8453,202
83,8453,207
84,8615,209
85,8674,210
86,8848,212
87,9077,214
88,9077,216
89,9213,218
90,9213,220
91,9290,222
92,9290,224
93,9350,227
94,9544,228
95,9616,230
96,9616,232
97,9624,234
98,9624,236
99,9652,239
100,9652,242
101,9792,243
102,9881,249
103,9881,255
104,9881,261
105,9881,267
106,9881,273
107,10275,275
108,10282,276
109,10431,279
110,10431,282
111,10474,284
112,11297,288
113,11340,293
114,11473,294
115,11768,295
116,11822,300
117,11822,305
118,12032,307
119,12273,308
120,12741,310
121,12741,312
122,12866,314
123,13197,317
124,13295,319
125,13389,320
126,13571,324
127,13571,328
128,13571,332
129,13573,333
130,13599,336
131,13599,339
132,13610,340
133,13735,343
134,14360,344
135,14425,346
136,15068,347
137,15093,350
138,15135,352
139,15135,354
140,15289,356
141,15652,358
142,15652,360
143,16004,362
144,16061,368
145,16061,374
146,16061,380
147,16245,383
148,16447,394
149,16447,405
150,16447,416
151,16447,427
152,16447,438
153,16447,449
154,16447,460
155,16728,465
156,16728,470
157,16728,475
158,16728,480
159,17211,481
160,17537,485
161,17537,489
162,17555,493
163,17555,497
164,18165,503
165,18165,509
166,18165,515
167,19052,516
168,19097,517
169,19206,520
170,19348,522
171,20736,524
172,20952,525
173,21992,530
174,21992,535
175,21992,540
176,22464,544
177,22464,548
178,22487,550
179,22487,552
180,23551,555
181,23551,558
182,23598,560
183,23765,561
184,24752,566
185,24752,571
186,24752,576
187,24752,581
188,24752,586
189,24779,590
190,24779,594
191,24779,598
192,24897,601
193,24983,605
194,25312,606
195,25450,610
196,25485,616
197,25485,622
198,25485,628
199,26222,631
200,26617,633
201,27220,636
202,27220,639
203,27353,644
204,27601,645
205,27923,647
206,28749,648
207,30080,651
208,30552,652
209,30956,653
210,31144,656
211,32933,658
212,32933,660
213,33255,661
214,33545,664
215,34789,666
216,34789,668
217,34897,670
218,34897,672
219,35248,674
220,35268,675
221,35589,677
222,35589,679
223,37700,680
224,37868,681
225,38879,683
226,39039,684
227,39078,686
228,39078,688
229,39098,691
230,39313,693
231,40124,694
232,41505,701
233,41505,708
234,42310,709
235,43186,711
236,43835,714
237,44031,720
238,44031,726
239,44031,732
240,44031,738
241,44133,739
242,44376,743
243,44376,747
244,44376,751
245,45097,754
246,45595,755
247,46104,756
248,46875,760
249,46875,764
250,46875,768
251,46882,770
252,47482,774
253,49054,778
254,49054,782
255,49238,785
256,49679,788
257,50524,789
258,52331,792
259,52665,797
260,52665,802
261,52665,807
262,53046,809
263,53758,814
264,53758,819
265,53758,824
266,53758,829
267,53865,831
268,54119,834
269,54119,837
270,55039,842
271,55702,846
272,55859,849
273,55859,852
274,56715,853
275,57028,859
276,57028,865
277,57028,871
278,57028,877
279,57303,880
280,57825,881
281,58135,883
282,58693,885
283,59012,886
284,59891,888
285,60002,894
286,60002,900
287,60002,906
288,60002,912
289,60366,917
290,60366,922
291,60366,927
292,60816,928
293,61058,931
294,61989,933
295,62080,935
296,62080,937
297,62831,938
298,63627,941
299,63627,944
300,63807,946
301,64276,947
302,64551,948
303,65711,950
304,65780,952
305,65780,954
306,66013,957
307,66013,960
308,67156,961
309,67437,964
310,67933,966
311,68579,967
312,69182,971
313,69230,976
314,69230,981
315,69230,986
316,70026,987
317,70189,988
318,70771,997
319,70771,1006
320,70771,1015
321,70771,1024
322,70771,1033
323,70771,1042
324,70771,1051
325,70771,1060
326,70980,1062
327,71173,1063
328,71976,1066
329,72716,1068
330,74962,1071
331,75390,1072
332,75566,1075
333,75566,1078
334,76099,1079
335,76433,1082
336,76572,1085
337,76572,1088
338,78011,1090
339,78902,1093
340,79392,1095
341,79411,1098
342,79411,1101
343,79612,1106
344,82398,1108
345,85023,1111
346,85307,1113
347,86127,1116

